P,P_Level
58,VH
49,VH
58,VH
66,VH
66,VH
71,VH
48,VH
40,VH
56,VH
70,VH
48,VH
61,VH
84,VH
97,VH
77,VH
69,VH
101,VH
44,VH
50,VH
55,VH
49,VH
68,VH
64,VH
60,VH
64,VH
64,VH
67,VH
45,VH
74,VH
67,VH
89,VH
66,VH
81,VH
74,VH
60,VH
70,VH
72,VH
45,VH
32,H
38,VH
40,VH
41,VH
30,H
28,MH
26,MH
30,H
35,VH
150,VH
45,VH
64,VH
46,VH
48,VH
60,VH
55,VH
52,VH
39,VH
42,VH
52,VH
45,VH
38,VH
35,VH
32,H
28,MH
35,VH
57,VH
52,VH
61,VH
68,VH
52,VH
59,VH
72,VH
75,VH
50,VH
45,VH
52,VH
60,VH
62,VH
45,VH
50,VH
66,VH
62,VH
70,VH
80,VH
65,VH
50,VH
48,VH
42,VH
60,VH
53,VH
54,VH
50,VH
55,VH
45,VH
50,VH
55,VH
58,VH
95,VH
57,VH
86,VH
85,VH
93,VH
78,VH
53,VH
39,VH
90,VH
36,VH
30,H
84,VH
66,VH
66,VH
69,VH
97,VH
48,VH
90,VH
70,VH
125,VH
127,VH
61,VH
39,VH
79,VH
158,VH
44,VH
67,VH
133,VH
102,VH
58,VH
61,VH
67,VH
60,VH
66,VH
69,VH
45,VH
33,H
44,VH
66,VH
44,VH
87,VH
31,H
127,VH
71,VH
297,VH
291,VH
235,VH
239,VH
233,VH
242,VH
300,VH
283,VH
290,VH
232,VH
229,VH
258,VH
232,VH
237,VH
261,VH
248,VH
258,VH
255,VH
265,VH
179,VH
208,VH
260,VH
232,VH
228,VH
203,VH
244,VH
252,VH
206,VH
243,VH
196,VH
51,VH
193,VH
216,VH
230,VH
258,VH
230,VH
149,VH
216,VH
218,VH
235,VH
232,VH
213,VH
198,VH
236,VH
308,VH
301,VH
191,VH
292,VH
230,VH
244,VH
223,VH
241,VH
183,VH
195,VH
235,VH
194,VH
269,VH
255,VH
192,VH
226,VH
238,VH
239,VH
188,VH
189,VH
229,VH
246,VH
250,VH
192,VH
240,VH
236,VH
172,VH
229,VH
217,VH
236,VH
232,VH
249,VH
242,VH
198,VH
175,VH
243,VH
226,VH
295,VH
259,VH
132,VH
287,VH
77,VH
234,VH
290,VH
255,VH
261,VH
282,VH
168,VH
200,VH
269,VH
269,VH
232,VH
298,VH
298,VH
177,VH
286,VH
235,VH
300,VH
172,VH
48,VH
19,M
47,VH
142,VH
77,VH
266,VH
201,VH
70,VH
83,VH
184,VH
110,VH
231,VH
60,VH
55,VH
289,VH
275,VH
244,VH
32,H
240,VH
223,VH
132,VH
238,VH
278,VH
57,VH
131,VH
238,VH
74,VH
140,VH
270,VH
97,VH
238,VH
295,VH
275,VH
232,VH
66,VH
61,VH
170,VH
57,VH
96,VH
275,VH
290,VH
296,VH
63,VH
107,VH
261,VH
76,VH
79,VH
111,VH
87,VH
269,VH
181,VH
113,VH
48,VH
273,VH
115,VH
287,VH
66,VH
31,H
290,VH
260,VH
583,VH
290,VH
300,VH
240,VH
246,VH
259,VH
278,VH
78,VH
258,VH
295,VH
73,VH
250,VH
78,VH
278,VH
49,VH
127,VH
260,VH
128,VH
254,VH
109,VH
297,VH
288,VH
295,VH
238,VH
121,VH
57,VH
79,VH
252,VH
220,VH
42,VH
51,VH
35,VH
45,VH
289,VH
294,VH
208,VH
271,VH
186,VH
77,VH
259,VH
278,VH
291,VH
181,VH
234,VH
226,VH
211,VH
219,VH
210,VH
235,VH
225,VH
218,VH
215,VH
272,VH
199,VH
216,VH
221,VH
207,VH
220,VH
298,VH
220,VH
209,VH
213,VH
224,VH
292,VH
143,VH
127,VH
166,VH
292,VH
280,VH
233,VH
196,VH
203,VH
253,VH
233,VH
