N,N_Level
155.2,L
164.9,L
203.7,L
174.6,L
203.7,L
223.1,L
194,L
145.5,L
145.5,L
164.9,L
145.5,L
174.6,L
145.5,L
194,L
164.9,L
184.3,L
194,L
484,H
164.9,L
194,L
194,L
164.9,L
174.6,L
184.3,L
155.2,L
213.4,L
174.6,L
480,H
174.6,L
194,L
174.6,L
155.2,L
174.6,L
184.3,L
194,L
213.4,L
223.1,L
194,L
213.4,L
194,L
213.4,L
194,L
174.6,L
97,L
97,L
164.9,L
223.1,L
164.9,L
155.2,L
155.2,L
174.6,L
164.9,L
135.8,L
184.3,L
174.6,L
174.6,L
194,L
194,L
164.9,L
174.6,L
164.9,L
242.5,M
194,L
444,M
155.2,L
194,L
174.6,L
164.9,L
164.9,L
562,H
145.5,L
194,L
155.2,L
164.9,L
164.9,L
155.2,L
135.8,L
155.2,L
174.6,L
194,L
194,L
135.8,L
155.2,L
164.9,L
500,H
184.3,L
203.7,L
126.1,L
203.7,L
184.3,L
194,L
492,H
145.5,L
203.7,L
203.7,L
213.4,L
451,M
203.7,L
194,L
174.6,L
174.6,L
184.3,L
194,L
203.7,L
213.4,L
194,L
174.6,L
194,L
145.5,L
213.4,L
155.2,L
194,L
184.3,L
194,L
145.5,L
194,L
194,L
145.5,L
203.7,L
242.5,M
145.5,L
203.7,L
223.1,L
194,L
184.3,L
213.4,L
203.7,L
194,L
213.4,L
194,L
145.5,L
203.7,L
223.1,L
145.5,L
174.6,L
184.3,L
145.5,L
155.2,L
155.2,L
145.5,L
145.5,L
164.9,L
194,L
155.2,L
145.5,L
174.6,L
155.2,L
135.8,L
145.5,L
174.6,L
164.9,L
194,L
242.5,M
213.4,L
155.2,L
223.1,L
164.9,L
174.6,L
145.5,L
213.4,L
194,L
194,L
174.6,L
184.3,L
135.8,L
174.6,L
155.2,L
145.5,L
174.6,L
232.8,L
184.3,L
174.6,L
164.9,L
164.9,L
155.2,L
174.6,L
174.6,L
194,L
213.4,L
194,L
174.6,L
213.4,L
174.6,L
213.4,L
223.1,L
203.7,L
174.6,L
194,L
174.6,L
194,L
174.6,L
194,L
194,L
203.7,L
194,L
213.4,L
174.6,L
2425,H
194,L
223.1,L
203.7,L
232.8,L
174.6,L
194,L
252.2,M
203.7,L
184.3,L
194,L
194,L
174.6,L
174.6,L
145.5,L
213.4,L
164.9,L
155.2,L
164.9,L
155.2,L
174.6,L
184.3,L
194,L
174.6,L
145.5,L
145.5,L
155.2,L
232.8,L
223.1,L
164.9,L
194,L
232.8,L
1425.9,H
223.1,L
242.5,M
213.4,L
232.8,L
252.2,M
213.4,L
223.1,L
155.2,L
184.3,L
194,L
194,L
194,L
203.7,L
174.6,L
194,L
184.3,L
194,L
164.9,L
174.6,L
184.3,L
174.6,L
194,L
155.2,L
174.6,L
194,L
164.9,L
164.9,L
194,L
155.2,L
174.6,L
184.3,L
194,L
194,L
155.2,L
194,L
155.2,L
164.9,L
194,L
184.3,L
184.3,L
194,L
194,L
174.6,L
164.9,L
155.2,L
174.6,L
164.9,L
155.2,L
126.1,L
232.8,L
271.6,M
252.2,M
223.1,L
194,L
213.4,L
291,M
