Ca,Mg,K,S,N,Lime,C,P,Moisture
3.444,24.61,267.73,20,209.2,7.03,1.83,82,0.5
2.447,32.47,587.94,20,209.2,7.36,1.61,129,0.9
3.682,22.35,254.58,18,230.12,6.15,1.38,188,0.5
3.824,35.97,591.99,17,261.5,7.25,1.45,80,0.8
3.919,37.76,507.39,21,209.2,5.62,1.68,165,0.5
4.133,33.47,598.03,24,188.28,6.92,1.23,92,0.6
3.539,24.16,338.41,25,198.74,6.36,1.14,8,0.9
3.515,22.16,607.77,24,209.2,7.27,0.72,6,0.6
3.302,22.27,239.38,15,167.36,6.25,0.73,92,0.9
4.252,37.06,234.17,19,209.2,6.39,0.63,27,0.9
2.613,28.01,565.6,23,167.36,7.3,0.78,3,0.5
3.895,26.45,216.78,26,177.82,5.69,0.63,89,0.9
4.822,37.42,230.35,18,177.82,6.03,0.51,94,0.9
3.278,30.6,274.36,21,240.58,6.21,0.53,97,0.6
3.8,37.01,250.37,18,209.2,5.55,1.06,100,0.6
2.898,32.86,247.67,17,209.2,5.16,1.18,118,0.5
3.278,27.2,595.14,24,188.28,7,0.9,10,0.5
4.418,35.47,252.64,31,209.2,5.88,0.68,89,0.7
4.466,28.98,281.83,25,209.2,6.32,0.55,112,0.7
4.418,28.54,618.68,24,198.74,6.93,0.56,18,0.5
3.8,29.93,577.27,21,188.28,7.2,0.61,8,0.5
4.038,26.56,593.11,131,209.2,7.33,0.89,5,0.6
4.727,27.53,339.13,31,155.2,6.37,0.99,49,0.6
4.774,36.7,572.39,18,135.8,7.17,1.12,2,0.8
4.893,36.5,588.21,60,164.9,7.32,1.54,2,0.5
4.584,35.14,245.34,24,213.4,5.91,1,98,0.7
3.515,33.55,279.8,2,203.7,5.44,0.86,124,0.5
4.157,26.06,542.23,4,252.2,4.91,1.16,224,0.5
4.513,27.45,306.17,6,155.2,6.09,1.12,112,0.8
3.753,25,611.1,8,194,6.96,1.3,17,0.8
2.755,31.71,598.14,3,174.6,6.95,1.27,13,0.6
3.42,24.61,339.72,2,164.9,6.68,0.98,40,0.8
4.086,35.25,579.07,3,126.1,7.2,1.21,8,0.5
3.895,22.55,269.18,6,184.3,5.79,0.9,97,0.7
4.466,38.06,484.47,2,194,5.63,1.72,123,0.7
4.299,27.26,239.8,14,194,6.39,1.03,69,0.5
3.159,33.55,588.49,22,126.1,7,0.91,12,0.6
4.109,26.64,491.93,5,174.6,7.02,1.1,4,0.8
4.394,35.56,600.13,2,184.3,7,1.2,2,0.5
2.542,30.79,592.02,5,242.5,5.32,1.21,260,0.9
3.943,23.38,266.03,4,155.2,6.49,0.87,51,0.8
4.109,34.81,572.14,2,164.9,7.04,1.46,12,0.7
4.774,36,482.99,5,174.6,5.34,1.28,246,0.7
3.135,32.35,224.82,6,164.9,6.37,1.08,46,0.9
4.988,36.36,267.76,2,184.3,5.45,1.07,96,0.7
4.893,36.48,262.3,3,194,6.36,0.95,70,0.5
3.658,23.72,616.78,2,164.9,6.86,1.21,16,0.7
4.086,34.75,292.91,2,194,5.65,1.06,98,0.6
3.088,32.41,588.64,2,194,6.82,1.6,14,0.8
3.468,25.81,559.85,4,203.7,7.01,1.66,12,0.7
4.228,27.42,555.14,2,184.3,7.03,1.64,5,0.6
4.133,33.64,574.66,1,203.7,7.15,1.58,9,0.8
2.637,34.81,566.72,7,194,7.14,1.08,9,0.8
3.848,23.94,270.46,3,213.4,5.62,1.67,85,0.6
3.943,25.33,269.4,3,174.6,5.67,1.66,113,0.8
4.252,34.72,226.69,2,232.8,5.62,1.73,103,0.8
7.158,48.36,595.31,2,194,7,0.92,26,0.6
6.817,62.65,578.57,4,194,7.09,1.42,14,0.7
6.941,49.02,598.92,2,194,7.36,0.9,12,0.6
5.233,60.08,371.36,6,223.1,5.1,0.9,260,0.6
7.314,47.45,580.68,2,194,6.81,1,12,0.6
7.531,46.54,589.79,2,194,7.01,1.22,4,0.5
7.748,60.23,235.19,2,194,5.6,0.84,200,0.6
6.351,45.18,561.44,10,203.7,7.1,0.98,7,0.6
5.885,43.11,603.38,3,174.6,6.97,1.1,6,0.7
6.693,49.92,591.6,3,164.9,7.07,1,8,0.6
6.941,53.11,602.07,8,164.9,7.03,1.1,16,0.8
7.345,47.7,591.72,2,184.3,7.14,1.14,14,0.5
6.879,51.79,581.18,3,164.9,7.06,0.89,13,0.8
8.183,50.93,588.07,8,174.6,7.15,1.25,15,0.7
7.345,48.16,592.54,6,164.9,7.31,1.03,12,0.9
7.655,46.14,564.19,8,145.5,7.19,1.07,8,0.9
6.444,63.21,575.66,32,310.4,5.54,0.97,218,0.6
6.475,54.12,584.05,4,261.9,7.08,0.98,19,0.6
7.5,48.01,566.28,3,184.3,7.12,1,21,0.9
6.568,63.91,577.1,3,174.6,7.18,1.04,19,0.7
6.32,48.61,579.44,6,164.9,7.08,0.84,23,0.5
5.73,43.26,606.29,4,174.6,7.12,1.31,18,0.8
5.606,45.78,594.71,5,174.6,7.19,1.33,21,0.6
7.065,50.48,583.97,8,184.3,7.15,1.5,19,0.7
6.817,47.5,568.78,2,174.6,7.25,1.7,30,0.6
6.289,45.58,595.01,6,164.9,7.3,1.45,16,0.5
6.972,45.43,580.36,8,194,7.17,0.98,18,0.7
6.32,49.22,607.44,9,213.4,7.08,1.55,24,0.6
6.196,46.94,594.71,8,194,7.21,1.19,26,0.5
5.699,43.96,538.63,7,194,7.23,1.32,21,0.9
6.879,46.24,580.98,3,213.4,7.31,1.45,10,0.8
0.637,2.348,563.08,3,174.6,7.26,0.72,25,0.5
6.444,46.04,610.3,2,164.9,7.35,1.07,13,0.7
6.599,46.74,566.14,1,174.6,7.16,1.1,10,0.7
7.283,47.45,493.26,3,145.5,7.29,1.31,11,0.8
6.848,45.93,577.5,1,164.9,7.34,1.23,10,0.7
6.382,47.3,588.43,1,164.9,7.25,0.99,10,0.6
7.065,44.92,470.87,1,145.5,7.3,1.03,12,0.6
5.823,43.26,597.42,3,174.6,7.39,1.16,11,0.7
6.724,44.62,541.84,2,155.2,7.3,1.2,9,0.7
6.724,46.89,584.17,4,145.5,7.28,1.22,10,0.8
0.699,3.056,597.7,1,174.6,7.16,1.5,16,0.8
5.916,45.43,610.84,1,164.9,7.2,1.46,15,0.6
6.724,45.73,496.67,1,184.3,7.21,1.25,10,0.7
7.252,47.4,563.89,3,174.6,7.12,0.93,17,0.5
6.879,46.14,606.07,2,164.9,7.3,1.21,17,0.5
6.165,53.46,569.3,1,155.2,7.28,1.16,10,0.8
6.568,46.34,603.24,1,135.8,7.3,1.22,12,0.6
6.475,44.97,589.01,2,145.5,7.22,1.34,10,0.8
5.885,44.32,575.84,3,155.2,7.4,1.21,11,0.9
6.32,45.63,560.21,2,223.1,7.25,1.4,11,0.9
6.599,46.94,494.04,3,184.3,7.41,1.32,7,0.6
6.786,49.82,500.16,6,194,7.45,1.06,10,0.7
6.32,45.38,491.09,4,155.2,7.35,1.25,10,0.5
6.91,46.54,580.12,2,184.3,7.42,1.17,10,0.5
7.189,61.59,372.8,3,126.1,5.33,1.1,298,0.7
6.289,48.11,597.07,1,184.3,7.18,1.21,13,0.7
6.32,46.34,601,7,145.5,7.21,1.21,12,0.7
6.102,47.9,547.88,3,184.3,7.3,1.28,10,0.8
6.599,45.58,589.82,1,194,7.28,1.26,10,0.7
7.22,49.07,559.39,13,164.9,7.01,1.6,16,0.9
6.165,43.66,606.4,5,184.3,7.42,1.3,12,0.5
1.941,24.42,282.08,3,164.9,7.01,0.65,85,0.7
3.742,41.04,568.39,1,174.6,7.39,0.93,89,0.9
2.158,25.38,542.7,2,164.9,7.96,0.48,82,0.8
2.252,27.55,586.89,2,174.6,7.84,0.7,129,0.9
2.345,40.28,302.24,3,155.2,6.14,0.5,188,0.9
1.537,29.82,433.79,3,164.9,7.2,0.62,80,0.8
2.034,38.81,286.48,10,145.5,6.11,0.65,165,0.8
3.991,44.72,594.12,5,155.2,7.58,0.83,92,0.6
4.146,42.85,600.33,12,126.1,7.65,0.74,79,0.8
2.127,25.93,563,21,174.6,7.85,0.61,156,0.9
2.034,28.41,527.28,7,194,7.9,0.7,154,0.8
2.034,27.1,584.65,11,194,7.69,0.7,130,0.7
3.09,36.39,569.94,9,174.6,7.62,0.82,93,0.5
3.929,42.95,588.96,24,164.9,7.91,0.72,92,0.5
3.898,41.09,581.07,10,174.6,7.69,0.82,80,0.6
2.345,32.1,596.21,4,164.9,8.04,1.09,45,0.8
2.78,34.12,464.89,8,145.5,7.79,0.63,102,0.7
1.91,33.81,470.62,10,174.6,7.53,0.65,72,0.9
2.345,35.53,446.22,9,213.4,7.38,0.65,61,0.5
2.252,38.46,276.34,5,223.1,6.12,0.75,151,0.7
4.022,43.76,596.62,4,194,7.26,0.45,71,0.6
3.494,38.91,609.2,3,184.3,7.45,0.46,67,0.9
2.189,36.94,245.57,14,174.6,6.33,0.55,136,0.6
2.189,41.04,283.73,71,174.6,6.13,0.6,169,0.8
2.407,33.01,467.84,21,135.8,7.57,0.59,93,0.8
2.127,39.37,300.55,6,145.5,6.01,0.46,146,0.6
1.755,27.6,370.68,5,145.5,6.51,0.46,60,0.5
3.525,41.14,353.03,4,194,6.94,0.51,32,0.7
3.432,39.47,586.93,13,174.6,7.6,0.85,76,0.9
1.506,33.61,282.18,13,194,6.45,0.59,156,0.6
1.786,34.37,444.87,11,184.3,7.15,0.75,69,0.7
1.724,32.7,426.97,14,164.9,7.42,0.66,72,0.8
1.817,29.97,327.93,14,155.2,7.06,0.57,110,0.9
2.065,35.98,272.85,18,164.9,6.51,0.55,179,0.8
2.252,34.17,512.73,12,174.6,7.63,0.61,120,0.7
3.028,40.53,361.41,12,184.3,7.26,0.57,48,0.9
2.314,32.3,491.01,15,194,7.89,0.55,100,0.6
1.91,39.17,261.33,11,145.5,6.59,0.6,227,0.7
2.189,27.7,619.43,12,223.1,7.61,0.53,141,0.9
1.817,39.42,274.05,14,155.2,6.36,0.5,186,0.8
1.941,27.9,348.49,12,174.6,6.6,0.36,99,0.6
1.755,37.75,307.23,18,155.2,6.06,0.41,179,0.9
1.693,37.8,282.27,18,174.6,6.29,0.59,186,0.9
1.941,28.71,593.35,10,164.9,7.58,0.61,145,0.5
2.376,29.32,568.46,19,174.6,7.83,0.52,153,0.6
2.624,33.66,474.19,9,184.3,7.46,0.53,103,0.6
1.91,33.26,596.95,8,164.9,8.01,1.05,47,0.8
2.345,31.49,475.72,12,194,7.8,0.61,98,0.8
2.158,32.65,618.66,12,135.8,7.74,0.5,113,0.7
2.065,30.08,533.53,15,155.2,7.77,0.52,101,0.6
2.096,36.89,488.2,7,184.3,7.47,0.64,77,0.8
1.941,41.44,321.38,12,155.2,6.45,0.56,208,0.9
1.972,34.27,587.91,14,164.9,7.6,0.7,132,0.8
1.972,39.62,274.68,8,203.7,6.17,0.41,209,0.7
4.084,43.96,593.48,10,174.6,7.57,0.87,101,0.6
3.929,44.72,573.65,18,203.7,7.66,0.98,97,0.6
1.63,38.11,282.48,13,223.1,6.53,0.67,209,0.7
2.904,34.52,446.5,10,194,7.55,0.49,111,0.6
1.089,16.01,257.37,10,145.5,5.49,0.46,161,0.7
1.369,29.27,253.88,12,145.5,5.65,0.51,146,0.8
1.313,28.83,273.07,12,164.9,5.47,0.5,163,0.9
1.313,17.2,584.76,10,145.5,7.31,0.55,160,0.9
1.62,23.99,573.68,2,174.6,7.5,0.77,53,0.5
1.229,20.79,293.3,17,145.5,6.68,0.46,95,0.7
1.034,21.17,306.12,14,194,6.47,0.49,114,0.9
1.62,36.01,271.51,15,164.9,5.98,0.66,185,0.7
2.151,32.85,396.97,10,184.3,7.09,0.48,57,0.6
1.257,30.35,306.09,11,194,6.01,0.51,193,0.5
1.229,29.16,260,12,174.6,5.93,0.39,195,0.8
2.682,27.85,500.3,10,164.9,7.19,0.72,95,0.9
1.648,35.35,281.31,16,194,6.05,0.41,188,0.8
1.201,23.89,303.93,12,194,6.48,0.45,124,0.9
1.704,27.91,456.04,12,164.9,7.26,0.49,108,0.6
1.844,23.83,610.04,12,174.6,7.38,0.52,74,0.6
1.229,23.29,311.77,19,184.3,6.83,0.45,103,0.6
1.76,35.68,269.21,17,155.2,6.01,0.63,148,0.7
1.508,23.67,324.25,15,213.4,6.57,0.46,107,0.6
1.732,20.52,534.21,12,174.6,7.43,0.63,149,0.9
1.061,25.9,259.52,12,194,6.16,0.45,162,0.8
1.397,18.4,500.44,16,174.6,7.43,0.6,79,0.9
1.592,24.27,400.19,14,194,7.38,0.68,99,0.7
1.425,34.92,276.55,15,174.6,6.02,0.57,179,0.7
2.291,24.92,595.14,15,155.2,7.37,0.85,84,0.9
1.341,33.94,320.1,15,174.6,5.94,0.69,156,0.8
1.453,26.44,316.53,17,184.3,6.48,0.52,114,0.8
1.285,35.68,283.25,19,194,5.87,0.66,175,0.7
1.117,21.11,330.1,9,213.4,6.5,0.45,102,0.8
1.48,18.72,539.62,11,223.1,7.47,0.66,182,0.5
2.346,27.8,602.13,6,194,7.41,0.9,55,0.6
1.844,23.99,448.19,6,213.4,7.46,0.61,74,0.7
1.257,17.69,487.81,5,194,7.76,0.51,52,0.7
2.765,26.93,563.52,5,213.4,7.55,0.81,58,0.6
2.542,26.33,493.09,7,194,7.52,0.89,56,0.6
1.397,17.26,540.25,9,174.6,7.81,0.67,103,0.6
1.425,33.51,259.87,15,97,5.35,0.51,144,0.6
1.006,27.91,275.19,6,97,5.76,0.53,118,0.9
1.313,22.58,438.9,8,164.9,7.2,0.69,68,0.7
2.682,27.36,610.89,12,223.1,7.2,0.92,55,0.8
2.235,22.26,409.59,4,164.9,7.58,0.57,56,0.5
1.089,21.6,583.16,7,155.2,7.65,0.92,32,0.9
1.341,21.44,431.43,9,155.2,7.55,0.63,5,0.8
1.201,28.23,421.53,8,174.6,7.3,0.71,50,0.7
1.369,18.23,433.66,7,164.9,7.77,0.57,55,0.9
1.48,25.14,431.54,7,135.8,7.57,0.54,82,0.9
2.011,24.21,533.14,3,184.3,7.67,0.68,54,0.8
1.48,31.49,321.55,6,174.6,6.85,0.51,69,0.8
1.117,27.04,434.6,10,174.6,7.16,0.72,41,0.6
1.145,30.14,244.53,11,194,6.19,0.55,1148,0.6
2.235,27.04,493.49,8,194,7.36,0.75,52,0.7
0.894,23.72,293.16,8,164.9,6.72,0.44,49,0.9
0.754,28.99,261.78,10,174.6,6.11,0.49,114,0.8
1.648,23.99,583.48,6,164.9,7.7,0.87,20,0.9
1.369,11.77,577.82,11,242.5,7.8,1.21,32,0.7
2.961,29.97,603.4,8,194,7.58,0.71,54,0.5
1.313,27.26,422.4,6,145.5,7.17,0.69,40,0.6
1.173,32.53,255.25,14,155.2,6.65,0.57,108,0.9
0.894,28.29,297.92,12,194,6.58,0.47,56,0.7
1.257,33.61,235.81,11,174.6,6.11,0.52,114,0.8
1.368,30.29,260.41,11,164.9,6.03,0.59,153,0.5
1.489,22.96,435.76,7,164.9,7.39,0.57,90,0.8
1.513,24.14,389.72,11,155.2,7.6,0.54,86,0.8
1.828,25.59,430.41,18,145.5,7.55,0.55,87,0.9
1.683,18,491.15,8,194,7.51,0.52,48,0.7
2.07,20.86,524.47,12,155.2,7.7,0.49,54,0.7
2.046,23.42,599.61,14,164.9,7.57,0.78,63,0.6
1.707,26.28,397.74,13,164.9,7.42,0.57,108,0.9
1.659,35.67,270.46,11,155.2,6.01,0.57,98,0.6
1.32,26.47,275.28,27,135.8,6.54,0.45,56,0.9
1.392,17.42,537.67,16,155.2,7.06,0.71,117,0.7
2.627,28.15,579.85,8,174.6,7.3,0.7,63,0.7
1.174,24.26,432.99,8,194,7.05,0.66,46,0.7
1.368,32.42,256.43,28,194,5.9,0.52,127,0.5
0.908,20.59,294.33,21,135.8,6.4,0.52,61,0.9
1.005,23.11,277.31,14,155.2,6.52,0.64,58,0.8
1.489,32.92,287.51,14,164.9,5.83,0.5,67,0.8
1.416,24.79,306.47,22,174.6,6.41,0.43,59,0.7
1.489,27.77,419.75,13,184.3,6.78,0.69,69,0.6
1.634,25.52,421.52,12,203.7,7.3,0.58,77,0.7
1.683,24.52,411.57,12,126.1,7.26,0.54,82,0.9
1.223,21.55,311.95,15,203.7,6.6,0.48,56,0.9
0.956,19.83,285.78,11,184.3,6.52,0.66,43,0.9
1.126,24.18,394.26,10,194,6.94,0.5,67,0.8
1.513,31.85,359.4,6,194,6.97,0.54,42,0.5
1.416,33.42,302.55,13,145.5,5.86,0.6,111,0.7
1.32,26.51,394.8,9,203.7,6.94,0.62,156,0.9
1.102,31.85,258.25,78,203.7,5.97,0.57,131,0.9
1.634,38.53,274.11,5,213.4,5.5,0.73,152,0.9
1.174,32.31,241.03,27,145.5,5.47,0.33,117,0.7
1.586,37.12,280.41,9,203.7,5.49,0.52,121,0.9
1.707,42.73,444.17,6,194,5.78,0.52,74,0.9
1.392,40.21,524.91,12,174.6,5.69,0.61,76,0.8
1.392,39.48,318.52,12,174.6,5.8,0.52,78,0.8
1.416,38.23,397.55,7,184.3,5.79,0.32,75,0.8
1.683,41.05,497.54,12,194,5.77,0.41,77,0.7
1.538,37.35,575.72,4,203.7,5.74,0.42,78,0.5
1.61,39.1,419.96,7,213.4,5.86,0.57,92,0.9
1.368,37.19,456.89,13,194,5.75,0.47,86,0.9
1.199,27.35,433.24,12,174.6,6.88,0.49,48,0.9
1.368,38.07,489.76,18,194,5.85,0.58,65,0.8
1.174,21.24,522.24,15,145.5,7.31,0.57,71,0.6
1.441,38.3,525.2,16,213.4,5.69,0.56,88,0.9
1.441,24.18,471.74,18,155.2,7.2,0.49,97,0.7
1.295,34.98,319.24,23,194,5.67,0.52,104,0.6
1.61,35.71,300.93,44,184.3,5.65,0.57,106,0.7
1.416,37.08,305.73,40,194,5.35,0.51,130,0.6
1.562,36.81,618.11,18,145.5,5.35,0.5,141,0.5
1.295,34.52,422.58,10,194,5.52,0.57,112,0.6
1.368,37.04,404.69,16,194,5.73,0.46,72,0.6
1.441,34.18,415.78,18,145.5,5.74,0.49,85,0.9
1.562,36.93,386.37,17,203.7,5.85,0.63,86,0.7
1.61,38.65,408.73,26,242.5,5.8,0.53,98,0.5
1.538,37.77,283,22,145.5,5.68,0.48,92,0.9
1.126,33.23,278.32,13,203.7,5.29,0.63,99,0.9
1.344,32.69,308.85,29,223.1,5.3,0.47,86,0.8
1.489,35.1,279.67,24,194,5.83,0.68,124,0.8
1.416,35.9,309.78,21,184.3,5.46,0.6,117,0.8
1.441,35.1,582.91,14,213.4,5.57,0.53,78,0.6
1.416,35.25,317.16,11,203.7,5.69,0.6,72,0.5
1.852,39.41,467.21,10,194,5.5,0.45,99,0.7
1.586,34.87,362.36,21,213.4,5.73,0.38,90,0.7
0.86,26.35,397.42,27,194,6.63,0.48,65,0.5
1.005,26.32,372.05,26,145.5,6.71,0.43,78,0.8
0.981,35.06,374.24,34,203.7,5.41,0.39,106,0.5
1.755,39.56,450.25,18,223.1,5.86,0.41,86,0.7
1.102,24.71,352.86,30,145.5,6.63,0.43,66,0.8
0.738,20.59,397.17,38,174.6,6.77,0.48,87,0.5
1.441,37.08,271.34,19,184.3,5.5,0.49,186,0.6
1.029,23.65,605.53,27,145.5,6.57,0.67,72,0.6
0.835,23.87,304.77,18,155.2,6.77,0.33,56,0.5
0.908,24.41,316.51,24,155.2,6.84,0.34,67,0.9
1.053,25.82,353.26,19,145.5,6.8,0.49,43,0.6
0.835,24.18,271.27,20,145.5,6.97,0.39,58,0.6
0.932,24.71,299.92,24,164.9,6.85,0.47,49,0.9
1.005,25.52,349.04,28,194,6.85,0.49,58,0.8
0.835,25.25,294.71,35,155.2,6.9,0.58,66,0.7
1.029,22.5,265.48,18,145.5,6.95,0.4,66,0.5
0.787,24.9,381.78,30,174.6,6.8,0.59,71,0.6
1.005,25.1,315.66,22,155.2,6.92,0.54,48,0.9
0.787,21.74,296.1,19,135.8,6.89,0.61,40,0.9
0.787,24.75,380.72,21,145.5,6.85,0.59,56,0.7
1.174,27.27,383.52,27,174.6,6.89,0.61,70,0.6
1.053,24.26,306.12,25,164.9,6.96,0.54,48,0.5
1.295,35.36,309.61,106,194,5.48,0.55,61,0.6
1.562,40.32,474.45,26,242.5,5.52,0.51,84,0.6
1.586,40.32,390.21,22,213.4,5.56,0.55,97,0.5
1.441,39.52,592.93,24,155.2,5.72,0.46,77,0.9
1.78,40.29,477.75,40,223.1,5.68,0.63,69,0.8
1.271,35.67,289.53,35,164.9,5.54,0.62,101,0.8
1.247,32.54,238.68,20,174.6,5.5,0.52,44,0.7
1.562,35.13,269.32,19,145.5,5.34,0.47,50,0.9
1.029,35.13,277.65,20,213.4,5.31,0.51,55,0.9
1.441,36.13,300.38,15,194,5.32,0.6,49,0.6
1.901,43.03,524.75,20,194,5.75,0.43,68,0.9
1.368,36.7,276.61,20,174.6,5.27,0.56,64,0.6
1.368,37.96,473.77,15,184.3,5.75,0.48,60,0.6
0.884,24.22,300.4,11,135.8,6.7,0.53,64,0.6
0.908,25.02,320.28,15,174.6,6.64,0.54,64,0.9
0.787,24.48,405.52,13,155.2,6.82,0.6,67,0.7
0.738,24.26,259.14,16,145.5,6.92,0.51,45,0.6
0.884,25.25,433.46,25,174.6,6.9,0.64,74,0.5
0.763,21.43,329.92,22,232.8,6.95,0.53,67,0.8
0.763,21.2,277.82,22,184.3,6.97,0.46,89,0.8
0.908,20.44,313.86,23,174.6,6.99,0.49,66,0.6
0.835,20.1,318.89,31,164.9,6.98,0.46,81,0.5
1.029,21.43,321.43,33,164.9,6.96,0.57,74,0.6
0.666,19.06,306.31,30,155.2,6.98,0.56,60,0.6
0.714,20.78,294.76,25,174.6,6.96,0.52,70,0.5
1.102,24.1,330.66,24,174.6,6.87,0.49,72,0.6
1.344,33.45,253,21,194,5.26,0.5,45,0.5
1.392,35.36,333.35,16,213.4,5.29,0.43,32,0.6
1.271,36.66,385.5,19,194,5.45,0.58,38,0.9
1.15,32.23,341.16,16,174.6,5.32,0.49,40,0.9
1.489,35.9,290.46,26,213.4,5.8,0.61,41,0.6
1.513,34.83,352.3,13,174.6,5.24,0.61,30,0.6
1.683,35.94,351.18,18,213.4,5.2,0.52,28,0.5
1.174,34.06,329.19,9,223.1,5.2,0.45,26,0.7
1.901,37.54,325.42,9,203.7,5.38,0.46,30,0.9
1.199,34.22,367.92,20,174.6,5.13,0.49,35,0.5
1.84,36.15,320.71,16,194,5.89,0.56,150,0.7
1.389,31.67,282.2,16,174.6,5.42,0.62,45,0.7
1.493,32.37,281.23,14,194,5.54,0.48,64,0.6
1.701,34.17,304.88,20,174.6,5.44,0.63,46,0.8
1.562,33.91,289.83,21,194,5.39,0.75,48,0.8
1.528,34.55,297.99,22,194,5.41,0.56,60,0.9
1.319,32.05,271.51,17,203.7,5.24,0.61,55,0.7
1.528,34.55,313.94,19,194,5.26,0.69,52,0.6
1.042,10.58,619.12,19,213.4,7.56,0.78,39,0.7
1.389,18.08,461,16,174.6,7.48,0.67,42,0.8
1.562,34.23,388.72,19,2425,6.32,0.53,52,0.8
1.736,36.92,303.13,19,194,5.59,0.58,45,0.9
1.319,30.9,274.01,16,223.1,5.68,0.58,38,0.8
1.424,34.68,312.38,19,203.7,5.22,0.6,35,0.6
1.319,30.77,297.64,27,232.8,5.73,0.63,32,0.9
1.215,22.88,358.76,25,174.6,6.75,0.61,28,0.9
1.111,40.06,385.73,21,194,6.96,0.65,35,0.8
0.868,35.58,289.44,28,252.2,6.85,0.51,57,0.5
0.799,15.96,282.23,42,203.7,7.14,0.54,52,0.6
0.521,16.41,370.99,31,184.3,7.7,0.67,61,0.9
1.25,20.71,337.06,40,194,7.03,0.61,68,0.5
1.285,22.82,340.74,48,194,6.91,0.49,52,0.6
1.111,23.4,296.56,23,174.6,7.19,0.47,59,0.6
1.111,25.45,278.9,29,174.6,7.07,0.63,72,0.5
0.903,21.35,337.86,14,145.5,6.88,0.49,75,0.5
1.424,34.1,303.3,14,213.4,5.72,0.47,50,0.7
1.389,34.74,294.84,18,164.9,5.56,0.69,45,0.7
1.354,33.78,274.81,15,155.2,5.53,0.45,52,0.7
1.458,32.69,239.98,15,164.9,5.56,0.45,60,0.7
1.319,34.49,268.27,19,155.2,5.59,0.33,62,0.6
0.937,18.65,506.43,8,174.6,6.91,0.58,45,0.6
1.562,19.55,498.29,2,184.3,7.61,0.57,50,0.5
1.111,18.4,283.46,2,194,6.98,0.46,66,0.9
0.972,21.79,301.38,2,174.6,7.09,0.46,62,0.6
0.799,21.67,279.04,1,145.5,7.17,0.53,70,0.5
0.972,16.41,445.41,5,145.5,7.76,0.63,80,0.7
0.937,20,267.22,2,155.2,7.12,0.3,65,0.5
1.319,32.82,283.99,4,232.8,5.54,0.41,50,0.6
1.632,35.71,298.38,2,223.1,5.77,0.45,48,0.6
1.632,34.81,300.17,2,164.9,5.73,0.61,42,0.9
0.764,19.87,260.1,2,194,6.79,0.47,60,0.6
0.451,18.85,263.99,2,232.8,6.95,0.52,53,0.8
0.972,22.18,250.27,2,1425.9,7.12,0.56,54,0.6
1.354,32.18,273.66,2,223.1,5.55,0.5,50,0.6
1.389,34.04,284,2,242.5,5.61,0.49,55,0.9
1.771,36.09,312.15,2,213.4,5.52,0.57,45,0.5
1.181,32.37,244.13,4,232.8,5.36,0.58,50,0.5
1.389,32.31,262.43,1,252.2,5.35,0.54,55,0.5
1.493,32.95,291.45,2,213.4,5.14,0.59,58,0.8
1.007,20.19,483.12,10,223.1,7.07,0.57,95,0.7
0.833,19.62,470.41,2,155.2,7.04,0.63,57,0.8
1.493,21.41,434.82,2,184.3,7.23,0.63,86,0.9
1.25,22.12,468,3,194,7.51,0.51,85,0.9
1.25,20.32,484.28,6,194,7.46,0.69,93,0.7
0.833,17.69,533.7,2,194,7.45,0.57,78,0.7
1.91,21.15,595.52,2,203.7,7.58,0.74,53,0.5
1.111,17.37,601.01,2,174.6,7.77,0.64,39,0.9
0.903,24.42,228.37,2,194,6.22,0.54,90,0.5
1.111,23.59,436.2,2,184.3,6.96,0.7,36,0.8
1.319,32.95,257.8,2,194,6.12,0.5,30,0.5
1.493,26.03,408.13,2,164.9,6.5,0.47,84,0.6
1.111,24.49,354.02,2,174.6,6.82,0.52,66,0.9
1.181,26.67,339.77,3,184.3,6.94,0.54,66,0.6
2.604,24.62,587.67,2,174.6,7.36,0.75,69,0.8
1.979,21.6,610.11,2,194,7.41,0.28,97,0.6
1.389,19.62,586.59,2,155.2,7.67,0.66,48,0.5
1.25,24.04,413.05,6,174.6,7.48,0.58,90,0.9
2.639,24.1,619.75,2,194,7.52,0.76,70,0.9
1.389,18.08,509.4,3,164.9,7.73,0.57,125,0.5
1.458,16.79,512.68,2,164.9,7.64,0.54,127,0.9
0.937,21.41,538.94,2,194,7.41,0.4,61,0.9
1.215,20.45,584.38,3,155.2,7.75,0.5,39,0.6
1.181,23.27,367.87,3,174.6,7.47,0.52,79,0.6
1.493,31.15,222.45,2,184.3,6.32,0.54,158,0.9
1.215,18.97,580.18,3,194,7.64,0.75,44,0.8
2.882,27.69,569.79,2,194,7.56,0.95,67,0.6
1.215,15,581.73,2,155.2,7.76,0.66,133,0.7
1.319,21.54,594.98,4,194,7.5,0.6,102,0.6
1.944,18.85,542,19,155.2,7.72,0.55,58,0.5
2.951,26.99,608.95,14,164.9,7.62,0.77,61,0.6
2.674,25.45,564.21,10,194,7.59,0.78,67,0.7
0.868,22.05,367.64,4,184.3,7.35,0.7,60,0.8
2.361,24.29,594.15,12,184.3,7.56,0.77,66,0.7
2.431,24.29,556.6,24,194,7.61,0.68,69,0.8
1.25,19.23,349.45,11,194,7.78,0.98,45,0.5
0.972,23.21,592.09,6,174.6,7.36,0.63,33,0.8
1.111,19.36,451.87,10,164.9,7.75,0.78,44,0.6
