Ca,Mg,K,S,N,Lime,C,P,Moisture
3.5,35.54,228.58,13,162.176,5.05,1.2,153,0.7
8.62,44.07,114.11,11,233.128,5.43,1.02,73,0.8
1.3,29.75,246.5,9,202.72,6.36,1.24,88,0.9
3.14,51.72,164.7,11,233.128,5.55,1.04,43,0.5
7.86,49.95,467.71,10,233.128,5.9,1.34,23,0.6
2.66,34.17,59.45,10,182.448,5.8,1.1,24,0.5
2.3,43.38,159.98,10,202.72,5.5,1.31,64,0.9
2.58,18.09,72.47,9,192.584,5.26,0.92,162,0.5
2.9,44.36,173.4,9,202.72,6.38,1.75,182,0.5
1.86,34.56,488.36,12,202.72,7.09,1.19,112,0.6
2.06,41.81,353.75,13,202.72,5.78,1,219,0.7
0.3,20.15,295.45,10,182.448,5.25,0.71,26,0.5
0.9,30.34,231.49,7,212.856,5.26,1.12,34,0.6
1.42,36.62,44.92,4,182.448,6,1.21,18,0.5
29.58,40.54,161.75,8,233.128,6.04,1.28,162,0.9
3.86,22.21,71.47,14,172.312,5.19,0.71,116,0.6
2.42,26.32,187.07,11,182.448,6.12,1.13,78,0.9
2.38,34.46,202.02,31,212.8,5.83,1.34,21,0.7
3.1,47.01,156.91,32,223.44,5.28,1.51,119,0.7
3.94,50.54,45.39,14,180.88,5.15,1.09,18,0.9
1.54,29.85,170.49,24,223.44,4.9,1.02,18,0.6
1.62,36.72,249.28,9,180.88,5.69,0.44,36,0.7
2.06,34.26,341.18,9,159.6,5.6,1.04,243,0.5
1.38,25.34,541.1,6,202.16,5.98,1.09,264,0.7
4.74,40.54,301.41,2,191.52,5.48,0.97,213,0.7
1.54,46.81,104.89,9,212.8,6.6,2.21,234,0.7
2.06,35.25,130.06,8,191.52,6.16,1.17,126,0.5
1.7,36.52,424.41,8,170.24,6,1.25,181,0.6
4.94,15.15,424.41,10,170.24,6.9,0.87,217,0.7
2.5,45.34,512.21,9,244.72,5.87,1.07,260,0.6
1.056,8.872,64.04,2,212.8,5.41,0.96,20,0.7
